Place,Time,Marking
>New batch arrives,8.59,4
>New batch arrives,9.0,5
>New batch arrives,9.0,6
>New batch arrives,10.5,7
>New batch arrives,10.5,8
>New batch arrives,12.0,9
>New batch arrives,12.0,10
Heat-sealing packaging,12.39,0
Sealer standby state,12.39,1
Sealer standby state,12.39,0
Heat-sealing packaging,12.39,1
>New batch arrives,12.39,9
Heat-sealing packaging,12.39,1
>New batch arrives,12.39,8
>New batch arrives,13.5,9
>New batch arrives,13.5,10
>New batch arrives,15.0,11
>New batch arrives,15.0,12
Heat-sealing packaging,16.17,0
Sealer standby state,16.17,1
Sealer standby state,16.17,0
Heat-sealing packaging,16.17,1
>New batch arrives,16.17,11
Heat-sealing packaging,16.17,1
>New batch arrives,16.17,10
>New batch arrives,16.5,11
>New batch arrives,16.5,12
>New batch arrives,18.0,13
>New batch arrives,18.0,14
>New batch arrives,19.5,15
>New batch arrives,19.5,16
Heat-sealing packaging,19.72,0
Sealer standby state,19.72,1
Sealer standby state,19.72,0
Heat-sealing packaging,19.72,1
>New batch arrives,19.72,15
Heat-sealing packaging,19.72,1
>New batch arrives,19.72,14
>New batch arrives,21.0,15
>New batch arrives,21.0,16
>New batch arrives,22.5,17
>New batch arrives,22.5,18
Heat-sealing packaging,22.88,0
Sealer standby state,22.88,1
Sealer standby state,22.88,0
Heat-sealing packaging,22.88,1
>New batch arrives,22.88,17
Heat-sealing packaging,22.88,1
>New batch arrives,22.88,16
>New batch arrives,24.0,17
>New batch arrives,24.0,18
>New batch arrives,25.5,19
>New batch arrives,25.5,20
Heat-sealing packaging,26.27,0
Sealer standby state,26.27,1
Sealer standby state,26.27,0
Heat-sealing packaging,26.27,1
>New batch arrives,26.27,19
Heat-sealing packaging,26.27,1
>New batch arrives,26.27,18
>New batch arrives,27.0,19
>New batch arrives,27.0,20
>New batch arrives,28.5,21
>New batch arrives,28.5,22
Heat-sealing packaging,29.81,0
Sealer standby state,29.81,1
Sealer standby state,29.81,0
Heat-sealing packaging,29.81,1
>New batch arrives,29.81,21
Heat-sealing packaging,29.81,1
>New batch arrives,29.81,20
>New batch arrives,30.0,21
>New batch arrives,30.0,22
>New batch arrives,31.5,23
>New batch arrives,31.5,24
>New batch arrives,33.0,25
>New batch arrives,33.0,26
Heat-sealing packaging,33.32,0
Sealer standby state,33.32,1
Sealer standby state,33.32,0
